Score,Sentiment,Summary,Text,clean_text
2,Negative,No Taste,Compared to other sugar free candies this candy has little taste of the fruit or of the sweet.<br />It is not worth the value.,compared sugar free candy candy little taste fruit sweetit worth value
5,Positive,Can't make them this good at home!!,"I'm very particular about what I feed my dogs. I often make my own ""canned/wet"" food and treats at home to ensure the quality and safety of the food I'm feeding my dogs. After looking at the ingredients in these biscuits and checking out the price when purchased in the 12 pound box, I realized I could not make biscuits of this quality at home for this price. My dogs really love these biscuits, and I feel good about the quality of this product. I also love that I can divide these biscuits into various sizes, as I have dogs that range from 6 lbs to 130 lbs. Even with 5 dogs this 12 lb box lasts a long time, and it is packaged in 3 heavy zipper bags, so you don't open all 12 lbs at once and they stay fresh. I would recommend these to anyone who cares about what they feed their dogs.",im particular feed dog often make cannedwet food treat home ensure quality safety food im feeding dog looking ingredient biscuit checking price purchased pound box realized could make biscuit quality home price dog really love biscuit feel good quality product also love divide biscuit various size dog range lb lb even dog lb box last long time packaged heavy zipper bag dont open lb stay fresh would recommend anyone care feed dog
4,Positive,These taste like someone melted some peanut butter cups into a bag of Bugles,"These are tasty in a serious junk food kind of way, but that is not a surprise since this is candy melted onto corn chips :)<br /><br />You eat these when you are craving salt and sugar and can't be bothered to pour a bag of M&Ms into a bowl of salted popcorn.  They are seriously the perfect PMS cliche food.<br /><br />Make sure you put the amount you WANT to eat in a bowl or cup and then put the rest back in the pantry or else you will be left with and empty bag and a stomach ache ;)<br /><br />FYI: I found these at the dollar store for a buck each.",tasty serious junk food kind way surprise since candy melted onto corn chip eat craving salt sugar cant bothered pour bag mm bowl salted popcorn seriously perfect pm cliche foodmake sure put amount want eat bowl cup put rest back pantry else left empty bag stomach ache fyi found dollar store buck
4,Positive,Great baby food - buy somewhere else,"Even I think that this baby food tastes good.  My 9 month old agrees.  I love that the ingredients are literally sweet potatoes, pumpkin, apples, and blueberries.  The only ingredient not in the title is lemon juice.  No crazy preservatives or other ingredients.  The problem is the company that is selling them on Amazon.  Don't take it out on Ella's.  You can find it MUCH more reasonably priced on diapers.com, or at Target.  I agree w/ another reviewer that the Plum organics baby food is also good, and a little cheaper, but this is still a staple in our son's diet.",even think baby food taste good month old agrees love ingredient literally sweet potato pumpkin apple blueberry ingredient title lemon juice crazy preservative ingredient problem company selling amazon dont take ellas find much reasonably priced diaperscom target agree w another reviewer plum organic baby food also good little cheaper still staple son diet
5,Positive,Good Snack for Studying,"I recently went back to school and am up late studying.  I want to avoid eating late though also need some energy and protein to stay focused.  I've tried and like all of the crunch ma-me flavors and the veggie medley is a good way to ""mix it up"".",recently went back school late studying want avoid eating late though also need energy protein stay focused ive tried like crunch mame flavor veggie medley good way mix
4,Positive,Nice mild brew,This is a nice mild brew no where near as strong as the Starbucks brand of discs. It fills a travel mug nicely without having to add any extra water at the end of the cycle.,nice mild brew near strong starbucks brand disc fill travel mug nicely without add extra water end cycle
5,Positive,Great Flavor,"This is my all-time favorite.  I love that it's organic and the mint flavor is very good.  Also, white tea does not stain your teeth the way that some teas do.",alltime favorite love organic mint flavor good also white tea stain teeth way tea
5,Positive,Chewey Goodness,This was delicious! Add a glass of milk and you have a kids favorite snack! If you love soft cookies these are perfect for you. Wish more came in a box!,delicious add glass milk kid favorite snack love soft cooky perfect wish came box
5,Positive,"Excellent, but not a  ""package"".","Miss Pitty LOVES all the favors.  Thanks for making a yummy daily meal for my girl.  But, the description says 3oz packages.  I was expecting a paper type packaging.  A little disappointed that the food came in cans.",miss pitty love favor thanks making yummy daily meal girl description say oz package expecting paper type packaging little disappointed food came can
5,Positive,Crunchy ginger goodness.,"These little Ginger Snap cookies are very, very tasty, with a satisfying crunch at the beginning and a smooth, rich feel at the end.  It might be more of a crunch than some folks would want (which might even get worse if left on the shelf for too long), and if you don't want an intense, somewhat spicy, lingering ginger flavor, you should probably avoid these.<br /><br />For me, though, ginger cookies are usually kind of boring, so it was a real treat to introduce my taste buds to these organic goodies. The all-natural ingredients lean heavily towards the sugar (each cookie is 40% sugar!), but they are less fatty than the last ginger cookies we had (Anna's), and the powerful flavor kind of dissuades you from eating too many at once!",little ginger snap cooky tasty satisfying crunch beginning smooth rich feel end might crunch folk would want might even get worse left shelf long dont want intense somewhat spicy lingering ginger flavor probably avoid thesefor though ginger cooky usually kind boring real treat introduce taste bud organic goody allnatural ingredient lean heavily towards sugar cookie sugar less fatty last ginger cooky anna powerful flavor kind dissuades eating many
4,Positive,Hard,"Great if you are cutting back on fat, they do resemble regular chips but are nothing like them. Extremely dry and hard.",great cutting back fat resemble regular chip nothing like extremely dry hard
